GeneID,D1.log2fc,D3.log2fc,D6.log2fc,D10.log2fc,D14.log2fc,D1.adjPval,D3.adjPval,D6.adjPval,D10.adjPval,D14.adjPval
RCAN2,-2.5474348195,-2.1595194071,-1.3665540035,-1.7849425717,-1.5411829747,0.0001185402,0.0002701621,0.0044695323,0.0009304973,4.07303258523133E-05
RCBTB1,-0.0886298679,-0.1872753814,-0.435591775,-0.1705814612,-0.1694858914,0.8762721564,0.4826921222,0.0287196194,0.4851431083,0.1564139532
RCBTB2,-0.4799067949,-0.7677517392,-1.362713503,-0.4669546802,-0.6267855373,0.0338815386,0.0015074825,1.52314720558182E-05,0.0273732335,9.68458696916592E-05
RCC1,0.1665047304,0.2002163,-0.1940772645,0.0396830848,-0.2042024681,0.4256075609,0.2346990604,0.1963928706,0.8817141719,0.0217692153
RCC2,1.040107048,1.0356222511,-0.1677033194,0.4320478103,0.501549971,0.0062616055,0.004851747,0.7131559318,0.2189413697,0.0123201402
RCCD1,-0.1219369309,0.1287266776,0.0387068566,-0.1321385878,-0.3599306574,0.8003091618,0.7085397581,0.9168614212,0.6434674089,0.0059388484
RCE1,0.2106717341,0.4129335583,0.7870185299,0.5718929281,0.913019793,0.5320524778,0.0689493817,0.0013527284,0.0124253633,7.08078284576113E-06
RCHY1,-0.154821228,-0.1272317534,-0.3376394373,-0.3349317213,-0.2686877151,0.5516075286,0.594504503,0.0360377973,0.0452555714,0.0077594828
RCL1,0.3997404976,-0.0456646695,-0.1458205946,-0.3746848764,-0.2361290833,0.0431237742,0.9110484283,0.4831707814,0.0415276428,0.0266674204
RCN1,0.5056641304,0.7797732942,0.6899363539,0.3918596012,0.5440593965,0.0842575728,0.0068202147,0.010294996,0.1507467173,0.0017267684
RCN2,0.543551118,1.4560897078,1.0983341962,0.914893247,0.9995641407,0.1425239356,0.0004085984,0.0020868984,0.0082063725,8.74014043380279E-05
RCN3,0.7573040454,0.9383747363,1.3739496129,0.9542862054,1.011559742,0.0018743291,0.0002980524,1.16307702066407E-05,0.0002317388,1.52633848345694E-06
RCOR2,2.6649105834,4.0070128931,3.1773489501,2.612801851,2.8183841996,3.02364498196981E-08,5.9637664378928E-10,0.000000003,1.57462196024603E-08,5.02282593483784E-11
RDBP,-0.0411417952,0.1321493546,0.2033085266,0.2314561126,0.2455484491,0.9309379833,0.4574523037,0.1312063979,0.098465784,0.004421594
RDH10,1.6123342867,0.8676135739,-0.1710903965,0.4449728723,0.3980488086,0.0018586322,0.0503831943,0.7856159055,0.3513579374,0.1105696982
RDH11,0.5291125003,0.6436038616,0.5632123359,0.5431277575,0.3938616162,0.0366729465,0.0095759721,0.0150231965,0.0225304496,0.005939695
RDH14,-0.4966660387,-0.2119316669,-0.4168789587,-0.4962678158,-0.4945926628,0.0231484865,0.3851790821,0.032140612,0.0163119256,0.000438846
RDH5,-1.7208314114,-1.8210198638,-2.0481443828,-1.7980983798,-1.8684560732,7.37544438844874E-05,3.15546986823312E-05,9.19635611322448E-06,2.99016651301729E-05,1.93785613568929E-07
RDX,0.8030763369,0.6774336683,0.6370699583,0.7614371932,0.6031673996,0.0041596764,0.0089923719,0.009456091,0.0040109896,0.0004204399
REC8,-0.1500960474,-0.1146313663,0.23885259,-0.197695279,-0.3182028541,0.7896864887,0.8102406565,0.3817850394,0.5253432912,0.0313916983
RECK,-1.4514674263,-1.2064753577,-0.9619056867,-0.4572523173,-0.2089365663,6.35946604213196E-06,1.67183533604517E-05,6.89597176577431E-05,0.0134307637,0.0429089724
RECQL,0.0422492533,-0.3689260716,-0.1360102123,0.0189015137,-0.4568920567,0.9798084442,0.4046209948,0.7988975352,0.9792475368,0.0288167052
